Year,Location,Type,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,Run in,Time,Stride Pattern,Athlete
2024,Monaco,final,5.72,3.51,3.55,3.66,3.78,4.03,4.16,4.28,4.39,4.55,5.55,47.18,13 to 2 12 to 5 13 to 10,dos Santos
2024,London,final,5.82,3.6,3.62,3.65,3.81,4.01,4.17,4.24,4.38,4.5,5.38,47.18,13 to 2 12 to 6 13 to 10,dos Santos
2022,Eugene,final,5.75,3.61,3.64,3.73,3.83,3.98,4.16,4.23,4.6,4.47,5.23,47.23,13 to 2 12 to 6 13 to 8 14 to 9 13 to 10,dos Santos
2023,Budapest,semi,5.77,3.77,3.54,3.84,3.9,4.0,4.11,4.28,4.4,4.53,5.1,47.24,13 to 10,Benjamin
2022,Doha,final,5.7,3.67,3.74,4.01,4.08,4.16,4.08,4.19,4.2,4.31,5.1,47.24,13 to 2 12 to 3 13 to 10,dos Santos
2022,Oslo,final,5.74,3.68,3.74,3.76,3.9,4.14,4.24,4.22,4.34,4.4,5.1,47.26,13 to 2 12 to 6 13 to 10,dos Santos
2024,Paris,final,5.72,3.58,3.66,3.7,3.78,3.91,4.07,4.23,4.44,4.59,5.58,47.26,13 to 2 12 to 6 13 to 10,dos Santos
2021,Tokyo,semi,5.8,3.63,3.7,3.8,3.83,4.14,4.1,4.28,4.42,4.5,5.11,47.31,13 to 3 12 to 5 13 to 10,dos Santos
2021,Stockholm,final,5.74,3.66,3.76,3.7,3.84,4.06,4.04,4.14,4.36,4.62,5.42,47.34,13 to 3 12 to 5 13 to 10,dos Santos
2021,Tokyo,semi,5.7,3.56,3.67,3.7,3.99,3.94,4.1,4.29,4.41,4.66,5.35,47.37,13 to 10,Benjamin
2021,Doha,final,5.8,3.74,3.84,4.0,4.01,4.05,4.09,4.2,4.24,4.27,5.14,47.38,13 to 10,Benjamin
2023,Budapest,semi,5.87,3.74,3.63,3.54,3.87,4.11,4.24,4.28,4.37,4.52,5.21,47.38,13 to 2 12 to 5 13 to 10,dos Santos
2021,Oslo,final,5.74,3.62,3.76,3.8,3.86,4.08,4.12,4.22,4.36,4.5,5.32,47.38,13 to 3 12 to 5 13 to 10,dos Santos
2023,Eugene,final,5.79,3.7,3.71,3.74,3.9,4.01,4.13,4.28,4.39,4.47,5.32,47.44,13 to 2 12 to 6 13 to 10,dos Santos
2022,Doha,final,5.6,3.58,3.83,3.97,4.14,4.12,4.06,4.26,4.31,4.4,5.22,47.49,13 to 10,Benjamin
2021,Monaco,final,5.7,3.61,3.71,3.74,3.88,4.1,4.19,4.23,4.44,4.71,5.2,47.51,all over the place,dos Santos
2022,Brussels,final,5.8,3.61,3.7,3.77,3.91,4.0,4.24,4.37,4.47,4.47,5.2,47.54,13 to 2 12 to 6 13 to 10,dos Santos
2023,Budapest,final,5.64,3.73,3.44,3.61,3.87,3.97,4.05,4.28,4.54,4.85,5.58,47.56,13 to 2 12 to 5 13 to 9 14 to 10,Benjamin
2019,Rome,final,5.66,3.6,3.73,3.92,4.0,3.94,4.06,4.22,4.46,4.67,5.32,47.58,13 to 9 14 to 10,Benjamin
